stock_item_name,stock_item_code,check
이수앱지스,086890,1
메디톡스,086900,1
한컴MDS,086960,1
쇼박스,086980,1
펩트론,087010,1
모바일어플라이언스,087260,1
픽셀플러스,087600,1
동아엘텍,088130,1
이원컴포텍,088290,1
이녹스,088390,1
에이스테크,088800,1
동우팜투테이블,088910,1
켐트로닉스,089010,1
테크윙,089030,1
넥스턴바이오,089140,1
케이씨티,089150,1
THE E&M,089230,1
에이티세미콘,089530,1
나스미디어,089600,1
제이티,089790,1
유비벨록스,089850,1
코세스,089890,1
에이피티씨,089970,1
상아프론테크,089980,1
광진윈텍,090150,1
로보스타,090360,1
덕신하우징,090410,1
비에이치,090460,1
제이스텍,090470,1
휴림로봇,090710,1
연이비앤티,090740,1
현대이지웰,090850,1
이엠텍,091120,1
S&K폴리텍,091340,1
텔레필드,091440,1
상신이디피,091580,1
남화토건,091590,1
파트론,091700,1
나노캠텍,091970,1
셀트리온헬스케어,091990,1
아미코젠,092040,1
디엔에프,092070,1
이크레더블,092130,1
서울바이오시스,092190,1
현우산업,092300,1
한라IMS,092460,1
앤씨앤,092600,1
네오팜,092730,1
엑시콘,092870,1
빅솔론,093190,1
케이아이엔엑스,093320,1
풍강,093380,1
매커스,093520,1
다믈멀티미디어,093640,1
서원인텍,093920,1
동운아나텍,094170,1
칩스앤미디어,094360,1
갤럭시아머니트리,094480,1
일진파워,094820,1
슈프리마에이치큐,094840,1
참좋은여행,094850,1
네오리진,094860,1
푸른기술,094940,1
제이엠티,094970,1
이엠코리아,095190,1
웨이브일렉트로,095270,1
ISC,095340,1
미래나노텍,095500,1
테스,095610,1
네오위즈,095660,1
제넥신,095700,1
에스에너지,095910,1
이트론,096040,1
청담러닝,096240,1
대창솔루션,096350,1
씨젠,096530,1
알에프세미,096610,1
에스코넥,096630,1
멜파스,096640,1
에이루트,096690,1
엘디티,096870,1
에스맥,097780,1
윈팩,097800,1
효성오앤비,097870,1
마이크로컨텍솔,098120,1
고영,098460,1
에스티오,098660,1
아이센스,099190,1
SDN,099220,1
쎄트렉아이,099320,1
브레인즈컴퍼니,099390,1
동방선기,099410,1
바이오플러스,099430,1
스맥,099440,1
ITX-AI,099520,1
이지케어텍,099750,1
모바일리더,100030,1
삼강엠앤티,100090,1
뷰웍스,100120,1
동국S&C,100130,1
머큐리,100590,1
서암기계공업,100660,1
세운메디칼,100700,1
미래에셋벤처투자,100790,1
상상인인더스트리,101000,1
월덱스,101160,1
우림피티에스,101170,1
씨큐브,101240,1
모베이스,101330,1
이엔드디,101360,1
아이엠,101390,1
엔시트론,101400,1
에스앤에스텍,101490,1
코리아에스이,101670,1
한국정밀기계,101680,1
위메이드맥스,101730,1
인화정공,101930,1
어보브반도체,102120,1
이엔에프테크놀로지,102710,1
코오롱생명과학,102940,1
에스앤더블류,103230,1
우양,103840,1
대성파인텍,104040,1
NHN벅스,104200,1
디와이피엔에프,104460,1
티케이케미칼,104480,1
코렌텍,104540,1
노랑풍선,104620,1
원익머트리얼즈,104830,1
케이엔더블유,105330,1
트루윈,105550,1
디케이락,105740,1
하이소닉,106080,1
하이텍팜,106190,1
파인테크닉스,106240,1
디지탈옵틱,106520,1
톱텍,108230,1
LX세미콘,108320,1
대양전기공업,108380,1
로보티즈,108490,1
셀바스AI,108860,1
옵티시스,109080,1
에스와이,109610,1
디에스케이,109740,1
진매트릭스,109820,1
동일금속,109860,1
에이프로젠 H&G,109960,1
전진바이오팜,110020,1
크리스에프앤씨,110790,1
디아이티,110990,1
남화산업,111710,1
KH 일렉트론,111870,1
위메이드,112040,1
디젠스,113810,1
크루셜텍,114120,1
강원,114190,1
KPX생명과학,114450,1
지스마트글로벌,114570,1
폴라리스우노,114630,1
아이원스,114810,1
아이패밀리에스씨,114840,1
휴맥스,115160,1
큐리언트,115180,1
인포바인,115310,1
우리넷,115440,1
지트리비앤티,115450,1
씨유메디칼,115480,1
케이씨에스,115500,1
씨엔플러스,115530,1
스타플렉스,115570,1
이미지스,115610,1
연우,115960,1
알파홀딩스,117670,1
티로보틱스,117730,1
모트렉스,118990,1
포메탈,119500,1
인터로조,119610,1
아이텍,119830,1
지엔씨에너지,119850,1
다나와,119860,1
대정화금,120240,1
골프존뉴딘홀딩스,121440,1
나노신소재,121600,1
비덴트,121800,1
코이즈,121850,1
에스디시스템,121890,1
제노레이,122310,1
삼기,122350,1
KMH,122450,1
예스티,122640,1
서진오토모티브,122690,1
와이지엔터테인먼트,122870,1
와이솔,122990,1
폴라리스웍스,123010,1
엠에스오토텍,123040,1
제닉,123330,1
코리아에프티,123410,1
선데이토즈,123420,1
이엠넷,123570,1
알톤스포츠,123750,1
한일진공,123840,1
아나패스,123860,1
아이티센,124500,1
태웅로직스,124560,1
아모그린텍,125210,1
비나텍,126340,1
코프라,126600,1
화신정공,126640,1
하이비젼시스템,126700,1
뉴로스,126870,1
제이엔케이히터,126880,1
디엔에이링크,127120,1
매직마이크로,127160,1
아시아경제,127710,1
에코캡,128540,1
피제이메탈,128660,1
앱코,129890,1
GH신소재,130500,1
나이스디앤비,130580,1
티피씨글로벌,130740,1
디에이치피코리아,131030,1
시큐브,131090,1
스카이이앤엠,131100,1
딜리,131180,1
대한과학,131220,1
티에스이,131290,1
알서포트,131370,1
원익피앤이,131390,1
이브이첨단소재,131400,1
파인텍,131760,1
테스나,131970,1
메가엠디,133750,1
이퓨쳐,134060,1
디엠티,134580,1
하림,136480,1
쎄미시스코,136510,1
윈스,136540,1
피엔티,137400,1
넥스트아이,137940,1
제이씨케미칼,137950,1
신진에스엠,138070,1
오이솔루션,138080,1
협진,138360,1
비즈니스온,138580,1
나이벡,138610,1
엘아이에스,138690,1
시티랩스,139050,1
키네마스터,139670,1
서플러스글로벌,140070,1
메지온,140410,1
대창스틸,140520,1
알에스오토메이션,140670,1
파크시스템스,140860,1
비아트론,141000,1
포티스,141020,1
레고켐바이오,141080,1
유니트론텍,142210,1
녹십자엠에스,142280,1
바이오리더스,142760,1
아이디스,143160,1
사람인에이치알,143240,1
영우디에스피,143540,1
녹십자랩셀,144510,1
뉴파워프라즈마,144960,1
휴젤,145020,1
마이크로프랜드,147760,1
제룡산업,147830,1
비디아이,148140,1
세경하이테크,148150,1
알엔투테크놀로지,148250,1
아바텍,149950,1
하이로닉,149980,1
인트로메딕,150840,1
파수,150900,1
KG ETS,151860,1
나노스,151910,1
네이블,153460,1
우리이앤엘,153490,1
옵티팜,153710,1
아시아종묘,154030,1
솔루에타,154040,1
와이엠씨,155650,1
엘앤케이바이오,156100,1
참존글로벌,158310,1
아톤,158430,1
아스플로,159010,1
제로투세븐,159580,1
