stock_item_name,stock_item_code,check
일진홀딩스,015860,1
태경산업,015890,1
대현,016090,1
삼성증권,016360,1
KG동부제철,016380,1
KG동부제철우,016385,1
한세예스24홀딩스,016450,1
환인제약,016580,1
신대양제지,016590,1
DB금융투자,016610,1
대성홀딩스,016710,1
두올,016740,1
퍼시스,016800,1
웅진,016880,1
광명전기,017040,1
명문제약,017180,1
우신시스템,017370,1
서울가스,017390,1
수산중공업,017550,1
SK텔레콤,017670,1
현대엘리베이,017800,1
풀무원,017810,1
광전자,017900,1
E1,017940,1
한국카본,017960,1
애경산업,018250,1
삼성에스디에스,018260,1
조일알미늄,018470,1
동원금속,018500,1
SK가스,018670,1
한온시스템,018880,1
신풍제약,019170,1
신풍제약우,019175,1
티에이치엔,019180,1
세아특수강,019440,1
하이트론,019490,1
대교,019680,1
대교우B,019685,1
한섬,020000,1
키다리스튜디오,020120,1
일진머티리얼즈,020150,1
아시아나항공,020560,1
일진디스플,020760,1
서원,021050,1
코웨이,021240,1
세원정공,021820,1
삼원강재,023000,1
MH에탄올,023150,1
한국종합기술,023350,1
동남합성,023450,1
롯데쇼핑,023530,1
다우기술,023590,1
인지컨트롤스,023800,1
인팩,023810,1
에쓰씨엔지니어링,023960,1
WISCOM,024070,1
디씨엠,024090,1
기업은행,024110,1
한국콜마홀딩스,024720,1
대원화성,024890,1
덕양산업,024900,1
KPX케미칼,025000,1
SJM홀딩스,025530,1
한국단자,025540,1
미래산업,025560,1
제이준코스메틱,025620,1
한솔홈데코,025750,1
이구산업,025820,1
남해화학,025860,1
한국주강,025890,1
디피씨,026890,1
부국철강,026940,1
동서,026960,1
BGF,027410,1
마니커,027740,1
세하,027970,1
삼성엔지니어링,028050,1
동아지질,028100,1
삼성물산,028260,1
삼성물산우B,02826K,1
팬오션,028670,1
케이씨,029460,1
신도리코,029530,1
삼성카드,029780,1
제일기획,030000,1
KT,030200,1
KTB투자증권,030210,1
교보증권,030610,1
동원수산,030720,1
비케이탑스,030790,1
신세계인터내셔날,031430,1
신세계푸드,031440,1
콤텍시스템,031820,1
롯데관광개발,032350,1
황금에스티,032560,1
LG유플러스,032640,1
삼성생명,032830,1
KH 필룩스,033180,1
자화전자,033240,1
체시스,033250,1
유나이티드제약,033270,1
세종공업,033530,1
KT&G,033780,1
무학,033920,1
두산중공업,034020,1
SBS,034120,1
LG디스플레이,034220,1
신세계건설,034300,1
NICE,034310,1
인천도시가스,034590,1
SK,034730,1
SK우,03473K,1
한국토지신탁,034830,1
지투알,035000,1
백산,035150,1
강원랜드,035250,1
NAVER,035420,1
신세계 I&C,035510,1
카카오,035720,1
제이콘텐트리,036420,1
한국가스공사,036460,1
SNT홀딩스,036530,1
엔씨소프트,036570,1
팜스코,036580,1
YG PLUS,037270,1
LG헬로비전,037560,1
광주신세계,037710,1
하나투어,039130,1
키움증권,039490,1
HDC아이콘트롤스,039570,1
상신브레이크,041650,1
대우조선해양,042660,1
현대두산인프라코어,042670,1
한미반도체,042700,1
주연테크,044380,1
KSS해운,044450,1
코스맥스비티아이,044820,1
대우건설,047040,1
포스코인터내셔널,047050,1
유니온머티리얼,047400,1
한국항공우주,047810,1
동원F&B,049770,1
우진플라임,049800,1
한전KPS,051600,1
진양화학,051630,1
LG생활건강,051900,1
LG생활건강우,051905,1
LG화학,051910,1
LG화학우,051915,1
한전기술,052690,1
스카이라이프,053210,1
한미글로벌,053690,1
테이팩스,055490,1
신한지주,055550,1
현대홈쇼핑,057050,1
포스코강판,058430,1
세아홀딩스,058650,1
다스코,058730,1
KTcs,058850,1
KTis,058860,1
한라홀딩스,060980,1
종근당바이오,063160,1
현대로템,064350,1
SNT모티브,064960,1
LG전자,066570,1
LG전자우,066575,1
세이브존I&C,067830,1
셀트리온,068270,1
삼성출판사,068290,1
SK렌터카,068400,1
휴켐스,069260,1
대호에이엘,069460,1
KODEX 200,069500,1
대웅제약,069620,1
한세엠케이,069640,1
KOSEF 200,069660,1
DSR제강,069730,1
현대백화점,069960,1
용평리조트,070960,1
한국금융지주,071050,1
한국금융지주우,071055,1
하이스틸,071090,1
지역난방공사,071320,1
롯데하이마트,071840,1
코아스,071950,1
STX중공업,071970,1
유엔젤,072130,1
농심홀딩스,072710,1
금호타이어,073240,1
이엔플러스,074610,1
새론오토모티브,075180,1
세진중공업,075580,1
유니퀘스트,077500,1
STX엔진,077970,1
텔코웨어,078000,1
에이블씨엔씨,078520,1
GS,078930,1
GS우,078935,1
CJ CGV,079160,1
현대리바트,079430,1
LIG넥스원,079550,1
휴비스,079980,1
일진다이아,081000,1
휠라홀딩스,081660,1
동양생명,082640,1
HSD엔진,082740,1
그린케미칼,083420,1
대한제강,084010,1
동양고속,084670,1
이월드,084680,1
대상홀딩스,084690,1
대상홀딩스우,084695,1
TBH글로벌,084870,1
엔케이,085310,1
미래에셋생명,085620,1
현대글로비스,086280,1
하나금융지주,086790,1
이리츠코크렙,088260,1
한화생명,088350,1
진도,088790,1
맥쿼리인프라,088980,1
HDC현대EP,089470,1
제주항공,089590,1
롯데렌탈,089860,1
평화산업,090080,1
노루페인트,090350,1
노루페인트우,090355,1
메타랩스,090370,1
아모레퍼시픽,090430,1
아모레퍼시픽우,090435,1
세원이앤씨,091090,1
KODEX 반도체,091160,1
KODEX 은행,091170,1
KODEX 자동차,091180,1
TIGER 은행,091220,1
TIGER 반도체,091230,1
